Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
287,17networks_RH_VisualA_SPL_1,17Networks_RH_DorsAttnA_SPL_4,1.0
288,17networks_RH_VisualA_SPL_2,17Networks_RH_DorsAttnA_SPL_3,1.0
289,17networks_RH_VisualB_ExStrInf_1,17Networks_RH_VisPeri_ExStrInf_2,1.0
290,17networks_RH_VisualB_ExStrInf_2,17Networks_RH_VisCent_ExStr_3,1.0
291,17networks_RH_VisualB_ExStrInf_3,17Networks_RH_VisPeri_ExStrInf_3,1.0
292,17networks_RH_VisualB_ExStrInf_4,17Networks_RH_VisPeri_ExStrInf_4,1.0
293,17networks_RH_VisualB_ExStrSup_1,17Networks_RH_VisPeri_ExStrSup_1,1.0
294,17networks_RH_VisualB_ExStrSup_2,17Networks_RH_VisPeri_ExStrSup_3,1.0
295,17networks_RH_VisualB_ExStrSup_3,17Networks_RH_VisPeri_ExStrSup_2,1.0
296,17networks_RH_VisualB_Striate_1,17Networks_RH_VisCent_Striate_1,1.0
297,17networks_RH_VisualB_Striate_2,17Networks_RH_VisCent_ExStr_5,1.0
298,17networks_RH_VisualB_Striate_3,17Networks_RH_VisPeri_StriCal_1,1.0
299,17networks_RH_VisualB_Striate_4,17Networks_RH_VisPeri_StriCal_2,1.0
300,17networks_RH_VisualC_ExStr_1,17Networks_RH_VisCent_ExStr_8,1.0
301,17networks_RH_VisualC_ExStr_2,17Networks_RH_VisCent_ExStr_6,1.0
